,0,1,2,3,4,5
MD4,0.0855,0.1146,0.1262,0.1804,0.2753,0.4465
TB Broth,0.0694,0.0827,0.0767,0.0822,0.0812,0.0806
1 ug/mL,0.2918,0.2742,0.3117,0.3561,0.4756,0.6489
10 ug/mL,0.5864,0.82,0.8475,0.8599,0.907,0.7949
100 ug/mL,0.6033,0.7761,0.792,0.8093,0.8608,0.8531
Phage 50/50,0.0914,0.0897,0.1031,0.1176,0.1456,0.2359
Phage 75/25,0.0955,0.0973,0.1049,0.1094,0.1878,0.2202
